ensemble,d,K,rho,tau,n_trials,spectral_P,spectral_mean,spectral_std,krylov_P,krylov_mean,krylov_std,moment_P
canonical,16,26,0.1015625,0.95,200,0.175,0.9509918279536153,0.14833339284281463,0.17,0.935784274500048,0.18798321492123773,0.025
canonical,16,27,0.10546875,0.95,200,0.135,0.9532607856076722,0.15352785788883777,0.22,0.9366434934943342,0.1910179641081461,0.03
canonical,16,29,0.11328125,0.95,200,0.145,0.9570551139445065,0.1491027300610133,0.19,0.9398592261845816,0.1852104312602576,0.01
canonical,16,30,0.1171875,0.95,200,0.085,0.9714110958635425,0.1208722429881048,0.135,0.9608687541621345,0.14989413079106242,0.0
canonical,16,32,0.125,0.95,200,0.06,0.9847483967024518,0.0672001834646571,0.1,0.9761311761641919,0.09848168218544062,0.0
canonical,16,33,0.12890625,0.95,200,0.085,0.9910296759827714,0.02439940130455234,0.1,0.984967162299699,0.04459966048531101,0.0
canonical,16,34,0.1328125,0.95,200,0.025,0.9965207866476821,0.01223000999414957,0.05,0.9947643868241945,0.020045843829919887,0.0
canonical,16,36,0.140625,0.95,200,0.02,0.9968082659998505,0.0177734233432916,0.035,0.9940819659195071,0.03284840257058775,0.0
canonical,16,37,0.14453125,0.95,200,0.035,0.9964794086417104,0.01466994131542982,0.05,0.9931879548677442,0.02818567406927405,0.0
canonical,16,38,0.1484375,0.95,200,0.015,0.998063414103446,0.008883973175476463,0.025,0.9968390684920816,0.015017740256482436,0.0
canonical,16,40,0.15625,0.95,200,0.02,0.993727112371282,0.056852498856331854,0.045,0.9907584212867824,0.07068913123862396,0.0
canonical,16,41,0.16015625,0.95,200,0.035,0.9923756845507349,0.06612850591480145,0.03,0.9909576534038823,0.0741690838130443,0.0
canonical,16,46,0.1796875,0.95,200,0.005,0.9952962360156495,0.06397879245797766,0.005,0.9947088401669422,0.06998774359687475,0.0
canonical,16,52,0.203125,0.95,200,0.0,0.9998389230561804,0.0022668901787617425,0.005,0.999683776492746,0.004460881527397926,0.0
canonical,16,58,0.2265625,0.95,200,0.0,0.9999997053421202,2.6971831000641804e-07,0.0,1.0,3.1264164235997254e-16,0.0
canonical,16,64,0.25,0.95,200,0.0,0.9999997553492264,2.2847490782177346e-07,0.0,1.0,3.4515260775491303e-16,0.0
canonical,16,5,0.01953125,0.9,200,1.0,0.30588679736745134,0.14886960606385674,1.0,0.1199847887425819,0.10938595021284757,0.555
canonical,16,9,0.03515625,0.9,200,1.0,0.41723651002486273,0.21072595986318188,0.975,0.23407887195939117,0.21767630495800724,0.355
canonical,16,12,0.046875,0.9,200,0.925,0.5491828998047426,0.2748492483826317,0.89,0.41900097868041297,0.33841669510138794,0.22
canonical,16,15,0.05859375,0.9,200,0.72,0.7407126304488494,0.24843309522965762,0.57,0.6917486027561304,0.3391001879156223,0.11
